Key,en,es,ar,fr,de,ru,tr,hi,ur,cn,ig-ng
Days,Days,Días,أيام,Jours,Tage,Дни,Günler,दिन,دن,天,Ụbọchị
Profit,Profit,Ganancia,ربح,Profit,Profitieren,Выгода,Kâr,लाभ,منافع,利润,Uru
Pending,Pending,Pendiente,قيد الانتظار,En attente,Ausstehend,В ожидании,Askıda olması,लंबित,زیر التواء,待办的,Na-echere
Rejected,Rejected,Rechazado,مرفوض,Rejeté,Abgelehnt,Отклоненный,Reddedilmiş,अस्वीकार कर दिया,مسترد,拒绝,Ajụjụ
Verified,Verified,Verificado,تم التحقق منه,Vérifié,Verifiziert,Проверено,Doğrulandı,सत्यापित,تصدیق شدہ,已验证,Ekwetara
Update KYC,Update KYC,Actualizar KYC,تحديث اعرف عميلك,Mettre à jour le KYC,KYC aktualisieren,Обновить KYC,KYC'yi güncelleyin,केवाईसी अपडेट करें,KYC اپ ڈیٹ کریں۔,更新了解您的客户,Melite KYC
No Data Found!,No Data Found!,¡No se encontraron datos!,لم يتم العثور على بيانات!,Aucune donnée trouvée !,Keine Daten gefunden!,Данные не найдены!,Veri bulunamadı!,डाटा प्राप्त नहीं हुआ!,کوئی ڈیٹا نہیں ملا!,没有找到数据！,Enweghị data ahụrụ!
Paypal Screen,Paypal Screen,Pantalla Paypal,شاشة باي بال,Écran Paypal,Paypal-Bildschirm,Экран PayPal,Paypal Ekranı,पेपैल स्क्रीन,پے پال اسکرین,贝宝屏幕,Paypal ihuenyo
CoinGate Screen,CoinGate Screen,Pantalla CoinGate,شاشة كوين جيت,Écran CoinGate,CoinGate-Bildschirm,Экран CoinGate,CoinGate Ekranı,कॉइनगेट स्क्रीन,سکے گیٹ اسکرین,币门屏幕,Ihuenyo CoinGate
Manual screen,Manual screen,Pantalla manual,شاشة يدوية,Écran manuel,Manueller Bildschirm,Ручной экран,Manuel ekran,मैनुअल स्क्रीन,دستی اسکرین,手动屏,Ihuenyo akwụkwọ ntuziaka
Please! Follow the Limit.,Please! Follow the Limit.,¡Por favor! Sigue el límite.,لو سمحت! اتبع الحد.,S'il te plaît! Suivez la limite.,Bitte! Folgen Sie dem Limit.,Пожалуйста! Следуйте лимиту.,Lütfen! Sınırı takip edin.,कृपया! सीमा का पालन करें.,برائے مہربانی! حد کی پیروی کریں۔,请！遵循极限。,Biko! Soro Oke.
Evidence Note,Evidence Note,Nota de evidencia,مذكرة الأدلة,Note sur les preuves,Beweisnotiz,Доказательства Примечание,Kanıt Notu,साक्ष्य नोट,ثبوت نوٹ,证据说明,Ihe akaebe
Image path is required,Image path is required,Se requiere la ruta de la imagen,مسار الصورة مطلوب,Le chemin de l'image est requis,Bildpfad ist erforderlich,Укажите путь к изображению.,Resim yolu gerekli,छवि पथ आवश्यक है,تصویری راستہ درکار ہے۔,图片路径为必填项,Achọrọ ụzọ onyonyo
No wallet,No wallet,Sin billetera,لا محفظة,Pas de portefeuille,Keine Brieftasche,Нет кошелька,Cüzdan yok,कोई बटुआ नहीं,کوئی پرس نہیں۔,没有钱包,Enweghị obere akpa
Alert,Alert,Alerta,يُحذًِر,Alerte,Alarm,Тревога,Uyarı,चेतावनी,الرٹ,警报,Njikere
Success,Success,Éxito,نجاح,Succès,Erfolg,Успех,Başarı,सफलता,کامیابی,成功,Ihe ịga nke ọma
Dismiss,Dismiss,Despedir,رفض,Rejeter,Zurückweisen,Увольнять,Azletmek,नकार देना,برطرف کرنا,解雇,Wepụ
Welcome To,Welcome To,Bienvenido a,مرحبا بكم في,Bienvenue à,Willkommen zu,Добро пожаловать в,Hoşgeldiniz,आपका स्वागत है,میں خوش آمدید,欢迎来到,Nabata Na
Admin Panel,Admin Panel,Panel de administración,لوحة الإدارة,Panneau d'administration,Administrationsmenü,Панель администратора,Admin Paneli,व्यवस्थापक पैनल,ایڈمن پینل,管理面板,Ogwe nchịkwa
Setup Currency,Setup Currency,Configuración de moneda,عملة الإعداد,Devise de configuration,Währung einrichten,Настройка валюты,Kurulum Para Birimi,सेटअप मुद्रा,سیٹ اپ کرنسی,设置货币,Mbido ego
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والمصاريف,Frais et charges,Gebühren und Entgelte,Сборы и сборы,Ücretler ve Masraflar,फीस एवं शुल्क,فیس اور چارجز,费用及收费,Ụgwọ & Ụgwọ
Subscribers,Subscribers,Suscriptores,المشتركين,Abonnés,Abonnenten,Подписчики,Aboneler,ग्राहकों,سبسکرائبرز,订阅者,Ndị debanyere aha
Contact Messages,Contact Messages,Mensajes de contacto,رسائل الاتصال,Messages de contact,Kontaktnachrichten,Контактные сообщения,İletişim Mesajları,संपर्क संदेश,رابطے کے پیغامات,联系方式 留言,Ozi kọntaktị
Investment Plan,Investment Plan,Plan de Inversión,خطة الاستثمار,Plan d'investissement,Investitionsplan,Инвестиционный план,Yatırım planı,निवेश योजना,سرمایہ کاری کا منصوبہ,投资计划,Atụmatụ itinye ego
Add Money Logs,Add Money Logs,Agregar registros de dinero,إضافة سجلات الأموال,Ajouter des journaux d'argent,Geldprotokolle hinzufügen,Добавить журналы денег,Para Günlükleri Ekle,मनी लॉग्स जोड़ें,منی لاگز شامل کریں۔,添加金钱日志,Tinye ndekọ ego
Pending Logs,Pending Logs,Registros pendientes,السجلات المعلقة,Journaux en attente,Ausstehende Protokolle,Ожидающие журналы,Bekleyen Günlükler,लंबित लॉग,زیر التواء لاگز,待处理日志,Ndekọ na-echere
Completed Logs,Completed Logs,Registros completados,السجلات المكتملة,Journaux terminés,Abgeschlossene Protokolle,Завершенные журналы,Tamamlanan Günlükler,पूर्ण लॉग,مکمل شدہ لاگز,已完成的日志,Ndekọ emechara
Canceled Logs,Canceled Logs,Registros cancelados,السجلات الملغاة,Journaux annulés,Abgebrochene Protokolle,Отмененные журналы,İptal Edilen Günlükler,रद्द किए गए लॉग,منسوخ شدہ لاگز,取消的日志,Ndekọ akagbuola
All Logs,All Logs,Todos los registros,جميع السجلات,Tous les journaux,Alle Protokolle,Все журналы,Tüm Günlükler,सभी लॉग,تمام لاگز,所有日志,Ndekọ niile
Money Out Logs,Money Out Logs,Registros de salida de dinero,سجلات خروج الأموال,Journaux de sorties d'argent,Geldabbuchungsprotokolle,Журналы вывода денег,Para Çıkışı Günlükleri,मनी आउट लॉग,منی آؤٹ لاگز,资金支出日志,Akwụkwọ ndekọ ego
Money Transfer Logs,Money Transfer Logs,Registros de transferencia de dinero,سجلات تحويل الأموال,Journaux de transfert d'argent,Geldtransferprotokolle,Журналы денежных переводов,Para Transferi Günlükleri,मनी ट्रांसफर लॉग,رقم کی منتقلی کے نوشتہ جات,汇款日志,Ndekọ mbufe ego
Invest Profit Logs,Invest Profit Logs,Registros de ganancias de inversión,سجلات أرباح الاستثمار,Investir les journaux de bénéfices,Gewinnprotokolle investieren,Инвестируйте журналы прибыли,Yatırım Kâr Günlükleri,निवेश लाभ लॉग,منافع کے نوشتہ جات میں سرمایہ کاری کریں۔,投资利润日志,Tinye ego ndekọ ego
User Care,User Care,Atención al usuario,رعاية المستخدم,Entretien utilisateur,Benutzerpflege,Уход за пользователем,Kullanıcı Bakımı,उपयोगकर्ता देखभाल,یوزر کیئر,用户关怀,Nlekọta onye ọrụ
Active Users,Active Users,Usuarios activos,المستخدمون النشطون,Utilisateurs actifs,Aktive Benutzer,Активные пользователи,Aktif Kullanıcılar,सक्रिय उपयोगकर्ता,فعال صارفین,活跃用户,Ndị ọrụ nọ n'ọrụ
Email Unverified,Email Unverified,Correo electrónico no verificado,لم يتم التحقق من البريد الإلكتروني,E-mail non vérifié,E-Mail nicht bestätigt,Электронная почта не проверена,E-posta Doğrulanmamış,ईमेल असत्यापित,ای میل غیر تصدیق شدہ,电子邮件未验证,Ekwupụtaghị ozi ịntanetị
KYC Unverified,KYC Unverified,KYC no verificado,لم يتم التحقق من KYC,KYC non vérifié,KYC nicht verifiziert,KYC не проверено,KYC Doğrulanmamış,केवाईसी असत्यापित,KYC غیر تصدیق شدہ,未验证 KYC,Achọpụtaghị KYC
All Users,All Users,Todos los usuarios,كافة المستخدمين,Tous les utilisateurs,Alle Nutzer,Все пользователи,Tüm kullanıcılar,सभी उपयोगकर्ता,تمام صارفین,全部用户,Ndị ọrụ niile
Email To Users,Email To Users,Enviar correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين,Envoyer un e-mail aux utilisateurs,E-Mail an Benutzer,Электронная почта пользователям,Kullanıcılara E-posta,उपयोगकर्ताओं को ईमेल करें,صارفین کو ای میل کریں۔,发送电子邮件给用户,Email Nye Ndị Ọrụ
Banned Users,Banned Users,Usuarios prohibidos,المستخدمون المحظورون,Utilisateurs bannis,Gesperrte Benutzer,Забаненные пользователи,Yasaklanan Kullanıcılar,प्रतिबंधित उपयोगकर्ता,ممنوعہ صارفین,被禁止的用户,Ndị ọrụ amachibidoro iwu
Admin Care,Admin Care,Atención administrativa,رعاية المشرف,Soins administratifs,Admin-Betreuung,Административная помощь,Yönetici Bakımı,व्यवस्थापक देखभाल,ایڈمن کیئر,行政关怀,Nlekọta nlekọta
All Admin,All Admin,Todos los administradores,كل المشرف,Tous les administrateurs,Alle Admin,Все администраторы,Tüm Yöneticiler,सभी व्यवस्थापक,تمام ایڈمن,所有管理员,Admin niile
Admin Role,Admin Role,Rol de administrador,دور المشرف,Rôle d'administrateur,Admin-Rolle,Роль администратора,Yönetici Rolü,व्यवस्थापक भूमिका,ایڈمن کا کردار,管理员角色,Ọrụ nchịkwa
Role Permission,Role Permission,Permiso de rol,إذن الدور,Autorisation de rôle,Rollenberechtigung,Разрешение роли,Rol İzni,भूमिका की अनुमति,کردار کی اجازت,角色权限,Ikikere ọrụ
Email To Admin,Email To Admin,Enviar correo electrónico al administrador,البريد الإلكتروني إلى المشرف,Envoyer un e-mail à l'administrateur,E-Mail an den Administrator,Электронная почта администратору,Yöneticiye E-posta,एडमिन को ईमेल करें,ایڈمن کو ای میل کریں۔,发送电子邮件至管理员,Email Nye onye nchịkwa
Web Settings,Web Settings,Configuración web,إعدادات الويب,Paramètres Web,Webeinstellungen,Веб-настройки,Web Ayarları,वेब सेटिंग्स,ویب کی ترتیبات,网页设置,Ntọala Weebụ
Basic Settings,Basic Settings,Configuraciones básicas,الإعدادات الأساسية,Paramètres de base,Grundeinstellungen,Базовые настройки,Temel Ayarlar,मूल सेटिंग्स,بنیادی ترتیبات,基本设置,Ntọala ntọala
Setup SEO,Setup SEO,Configurar SEO,إعداد كبار المسئولين الاقتصاديين,Configurer le référencement,SEO einrichten,Настройка SEO,SEO Kurulumu,सेटअप एसईओ,SEO سیٹ اپ کریں۔,设置搜索引擎优化,Mepụta SEO
App Settings,App Settings,Configuración de la aplicación,إعدادات التطبيق,Paramètres de l'application,App Einstellungen,Настройки приложения,Uygulama ayarları,एप्लिकेशन सेटिंग,ایپ کی ترتیبات,应用程序设置,Ntọala ngwa
Splash Screen,Splash Screen,Pantalla de bienvenida,شاشة البداية,Écran de démarrage,Begrüßungsbildschirm,Заставка,Başlangıç ​​ekranı,स्प्लैश स्क्रीन,سپلیش اسکرین,启动画面,Ihuenyo splash
Default,Default,Por defecto,تقصير,Défaut,Standard,По умолчанию,Varsayılan,गलती करना,طے شدہ,默认,Ọdabara
Interface Panel,Interface Panel,Panel de interfaz,لوحة الواجهة,Panneau d'interface,Schnittstellenpanel,Интерфейсная панель,Arayüz Paneli,इंटरफ़ेस पैनल,انٹرفیس پینل,接口面板,Ogwe ihu igwe
Onboard Screen,Onboard Screen,Pantalla integrada,شاشة على متن الطائرة,Écran embarqué,Onboard-Bildschirm,Встроенный экран,Yerleşik Ekran,ऑनबोर्ड स्क्रीन,آن بورڈ اسکرین,板载屏幕,Ihuenyo onboard
App URLs,App URLs,URL de aplicaciones,عناوين URL للتطبيقات,URL des applications,App-URLs,URL-адреса приложений,Uygulama URL'leri,ऐप यूआरएल,ایپ URLs,应用程序网址,Ngwa URL
Languages,Languages,Idiomas,اللغات,Langues,Sprachen,Языки,Diller,बोली,زبانیں,语言,Asụsụ
Money Out Settings,Money Out Settings,Configuración de retiro de dinero,إعدادات إخراج الأموال,Paramètres de retrait d'argent,Auszahlungseinstellungen,Настройки вывода денег,Para Çıkışı Ayarları,मनी आउट सेटिंग्स,منی آؤٹ کی ترتیبات,出金设置,Ntọala ego
Verification Center,Verification Center,Centro de verificación,مركز التحقق,Centre de vérification,Verifizierungszentrum,Верификационный центр,Doğrulama Merkezi,सत्यापन केंद्र,تصدیقی مرکز,验证中心,Ebe nkwenye
Setup Email,Setup Email,Configurar correo electrónico,إعداد البريد الإلكتروني,E-mail de configuration,E-Mail einrichten,Настройка электронной почты,E-posta Kurulumu,सेटअप ईमेल,ای میل ترتیب دیں۔,设置电子邮件,Melite ozi-e
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني,Méthode de courrier électronique,E-Mail-Methode,Метод электронной почты,E-posta Yöntemi,ईमेल विधि,ای میل کا طریقہ,邮件方式,Usoro email
Setup KYC,Setup KYC,Configurar KYC,إعداد KYC,Configurer KYC,Richten Sie KYC ein,Настройка KYC,KYC'yi kurun,केवाईसी सेटअप करें,KYC سیٹ اپ کریں۔,设置 KYC,Mepụta KYC
Setup Web Content,Setup Web Content,Configurar contenido web,إعداد محتوى الويب,Configurer le contenu Web,Richten Sie Webinhalte ein,Настройка веб-контента,Web İçeriğini Kur,वेब सामग्री सेटअप करें,ویب مواد ترتیب دیں۔,设置网页内容,Tọọ ọdịnaya Weebụ
Setup Section,Setup Section,Sección de configuración,قسم الإعداد,Section de configuration,Setup-Bereich,Раздел настройки,Kurulum Bölümü,सेटअप अनुभाग,سیٹ اپ سیکشن,设置部分,Ngalaba nhazi
Banner Section,Banner Section,Sección de pancartas,قسم البانر,Section bannière,Banner-Bereich,Баннерный раздел,Banner Bölümü,बैनर अनुभाग,بینر سیکشن,横幅部分,Ngalaba ọkọlọtọ
Brand Section,Brand Section,Sección de Marca,قسم العلامات التجارية,Section Marque,Markenbereich,Раздел брендов,Marka Bölümü,ब्रांड अनुभाग,برانڈ سیکشن,品牌专区,Akụkụ ika
About Us Section,About Us Section,Sección Acerca de nosotros,قسم عنا,Section À propos de nous,Abschnitt „Über uns“.,О нас Раздел,Hakkımızda Bölümü,हमारे बारे में अनुभाग,ہمارے بارے میں سیکشن,关于我们部分,Banyere Anyị Nkebi
Services Section,Services Section,Sección de Servicios,قسم الخدمات,Section des services,Abschnitt „Dienstleistungen“.,Секция услуг,Hizmetler Bölümü,सेवा अनुभाग,سروسز سیکشن,服务组,Ngalaba Ọrụ
Feature Section,Feature Section,Sección de funciones,قسم الميزات,Section des fonctionnalités,Feature-Bereich,Раздел функций,Özellik Bölümü,फ़ीचर अनुभाग,فیچر سیکشن,特色部分,Akụkụ njirimara
Clients Feedback,Clients Feedback,Comentarios de los clientes,تعليقات العملاء,Commentaires des clients,Kundenfeedback,Отзывы клиентов,Müşteri Geri Bildirimi,ग्राहकों की प्रतिक्रिया,کلائنٹس کی رائے,客户反馈,Nzaghachi nke ndị ahịa
Announcements,Announcements,Anuncios,إعلانات,Annonces,Ankündigungen,Объявления,Duyurular,घोषणाएं,اعلانات,公告,Ọkwa
How It Work Section,How It Work Section,Sección Cómo funciona,قسم كيفية العمل,Section Comment ça marche,Abschnitt „Wie es funktioniert“.,Раздел «Как это работает»,Nasıl Çalışır Bölümü,यह कैसे काम करता है अनुभाग,یہ کیسے کام کرتا ہے سیکشن,工作原理部分,Ka o si arụ ọrụ Nkebi
About Page Section,About Page Section,Acerca de la sección de página,حول قسم الصفحة,Section de la page À propos,Über den Seitenbereich,О разделе страницы,Sayfa Bölümü Hakkında,पेज अनुभाग के बारे में,صفحہ سیکشن کے بارے میں,关于页面部分,Banyere ngalaba ibe
Contact US Section,Contact US Section,Contáctenos Sección EE.UU.,اتصل بقسم الولايات المتحدة,Section Contactez-nous,Kontaktieren Sie die US-Abteilung,Связаться с отделом США,ABD Bölümüyle İletişime Geçin,यूएस अनुभाग से संपर्क करें,یو ایس سیکشن سے رابطہ کریں۔,联系我们部分,Kpọtụrụ ngalaba US
Footer Section,Footer Section,Sección de pie de página,قسم التذييل,Section de pied de page,Fußzeilenbereich,Раздел нижнего колонтитула,Alt Bilgi Bölümü,पाद अनुभाग,فوٹر سیکشن,页脚部分,Akụkụ n'okpuru
Setup Pages,Setup Pages,Páginas de configuración,صفحات الإعداد,Pages de configuration,Setup-Seiten,Страницы настройки,Kurulum Sayfaları,पेज सेटअप करें,سیٹ اپ پیجز,设置页面,Nhazi ibe
Extensions,Extensions,Extensiones,ملحقات,Rallonges,Erweiterungen,Расширения,Uzantılar,एक्सटेंशन,ایکسٹینشنز,扩展,Mgbatị
Useful Links,Useful Links,Enlaces útiles,روابط مفيدة,Liens utiles,Nützliche Links,Полезные ссылки,kullanışlı bağlantılar,उपयोगी कड़ियां,مفید لنکس,有用的链接,Njikọ bara uru
Payment Methods,Payment Methods,Métodos de pago,طرق الدفع,Méthodes de paiement,Zahlungsarten,Способы оплаты,Ödeme metodları,भुगतान की विधि,ادائیگی کے طریقے,支付方式,Ụzọ ịkwụ ụgwọ
Automatic,Automatic,Automático,تلقائي,Automatique,Automatisch,Автоматический,Otomatik,स्वचालित,خودکار,自动的,Akpaaka
Manual,Manual,Manual,يدوي,Manuel,Handbuch,Руководство,Manuel,नियमावली,دستی,手动的,Akwụkwọ ntuziaka
Money Out,Money Out,Salida de dinero,المال خارج,Argent sorti,Geld aus,Вывод денег,Para Çıkışı,धन ले जाना,پیسے باہر,钱出,Ego Apụọ
Notification,Notification,Notificación,إشعار,Notification,Benachrichtigung,Уведомление,Bildiri,अधिसूचना,اطلاع,通知,ngosi
Push Notification,Push Notification,Notificación push,دفع الإخطار,Notification poussée,Push-Benachrichtigung,Отправить уведомление,Bildirim almak,सर्वर पुश नोटीफिकेशन,پش نوٹیفکیشن,推送通知,Pịa ngosi
Setup Notification,Setup Notification,Notificación de configuración,إشعار الإعداد,Notification de configuration,Setup-Benachrichtigung,Уведомление о настройке,Kurulum Bildirimi,सेटअप अधिसूचना,سیٹ اپ نوٹیفکیشن,设置通知,Nhazi ọkwa
Send Notification,Send Notification,Enviar notificación,إرسال الإخطار,Envoyer une notification,Benachrichtigung senden,Отправить уведомление,Bildirim Gönder,अधिसूचना भेजें,اطلاع بھیجیں۔,发送通知,Zipụ ọkwa
Bonus,Bonus,Prima,علاوة,Prime,Bonus,Бонус,Bonus,बक्शीश,اضافی انعام,奖金,Dashi
GDPR Cookie,GDPR Cookie,Cookie RGPD,ملف تعريف الارتباط الناتج عن اللائحة العامة لحماية البيانات,Cookie RGPD,DSGVO-Cookie,Файл cookie GDPR,GDPR Çerezi,जीडीपीआर कुकी,جی ڈی پی آر کوکی,GDPR Cookie,Kuki GDPR
Server Info,Server Info,Información del servidor,معلومات الخادم,Informations sur le serveur,Serverinformationen,Информация о сервере,Sunucu Bilgileri,सर्वर जानकारी,سرور کی معلومات,服务器信息,Ozi nkesa
Clear Cache,Clear Cache,Borrar caché,مسح ذاكرة التخزين المؤقت,Vider le cache,Cache leeren,Очистить кэш,Önbelleği Temizle,कैश को साफ़ करें,کیشے صاف کریں۔,清除缓存,Kpochapụ cache
Total Add Money Request,Total Add Money Request,Solicitud de agregar dinero total,إجمالي طلب إضافة الأموال,Demande d'ajout d'argent total,Gesamtbetrag der Geldaufforderung,Итого запрос на добавление денег,Toplam Para Ekleme Talebi,कुल धनराशि जोड़ने का अनुरोध,کل ایڈ منی کی درخواست,总加钱请求,Mgbakwụnye arịrịọ ego
Add Money Balance,Add Money Balance,Agregar saldo de dinero,إضافة رصيد المال,Ajouter un solde d'argent,Geldguthaben hinzufügen,Добавить денежный баланс,Para Bakiyesi Ekle,धन शेष जोड़ें,منی بیلنس شامل کریں۔,添加资金余额,Tinye nkwụnye ego
Money Out Request,Money Out Request,Solicitud de retiro de dinero,طلب صرف الأموال,Demande de retrait d'argent,Geldauszahlungsanfrage,Запрос на вывод денег,Para Çıkışı Talebi,पैसे निकालने का अनुरोध,منی آؤٹ کی درخواست,付款请求,Arịrịọ ego
Money Out Balance,Money Out Balance,Saldo de salida de dinero,رصيد الأموال الخارجة,Solde d'argent,Geldausgangssaldo,Баланс вывода денег,Para Çıkışı Bakiyesi,मनी आउट बैलेंस,منی آؤٹ بیلنس,资金支出余额,Ọnụ ego efu
User Active Tickets,User Active Tickets,Entradas activas de usuario,تذاكر المستخدم النشطة,Tickets actifs pour les utilisateurs,Aktive Benutzertickets,Активные заявки пользователей,Kullanıcı Aktif Biletleri,उपयोगकर्ता सक्रिय टिकट,یوزر ایکٹو ٹکٹس,用户活跃票证,Tiketi nọ n'ọrụ
Total Users,Total Users,Usuarios totales,إجمالي المستخدمين,Nombre total d'utilisateurs,Gesamtzahl der Benutzer,Всего пользователей,Toplam Kullanıcı Sayısı,कुल उपयोगकर्ता,کل صارفین,用户总数,Mgbakọta ndị ọrụ
Total User Invest,Total User Invest,Inversión total del usuario,إجمالي استثمار المستخدم,Investissement total des utilisateurs,Gesamte Benutzerinvestition,Общий объем инвестиций пользователей,Toplam Kullanıcı Yatırımı,कुल उपयोगकर्ता निवेश,صارف کی کل سرمایہ کاری,用户总投资,Mkpokọta ego onye ọrụ
Users Total Profit,Users Total Profit,Beneficio total de los usuarios,إجمالي الربح للمستخدمين,Bénéfice total des utilisateurs,Gesamtgewinn des Benutzers,Общая прибыль пользователей,Kullanıcı Toplam Kârı,उपयोगकर्ता कुल लाभ,صارفین کا کل منافع,用户总利润,Ọnụ ego ndị ọrụ
Monthly Add Money Chart,Monthly Add Money Chart,Gráfico mensual para agregar dinero,مخطط إضافة الأموال شهريًا,Tableau d'ajout d'argent mensuel,Monatliches Add-Money-Diagramm,Ежемесячный график добавления денег,Aylık Para Ekleme Tablosu,मासिक धन जोड़ें चार्ट,ماہانہ ایڈ منی چارٹ,每月添加资金图表,Chart Tinye Ego kwa ọnwa
Revenue Chart,Revenue Chart,Gráfico de ingresos,مخطط الإيرادات,Tableau des revenus,Umsatzdiagramm,График доходов,Gelir Tablosu,राजस्व चार्ट,ریونیو چارٹ,收入图表,chaatị ego
Yearly Investment Analytics,Yearly Investment Analytics,Análisis de inversión anual,تحليلات الاستثمار السنوية,Analyse annuelle des investissements,Jährliche Investitionsanalyse,Ежегодная инвестиционная аналитика,Yıllık Yatırım Analitiği,वार्षिक निवेश विश्लेषण,سالانہ سرمایہ کاری کے تجزیات,年度投资分析,Nchịkọta ntinye ego kwa afọ
User Analytics,User Analytics,Análisis de usuario,تحليلات المستخدم,Analyse des utilisateurs,Benutzeranalyse,Пользовательская аналитика,Kullanıcı Analitiği,उपयोगकर्ता विश्लेषण,صارف کے تجزیات,用户分析,Nchịkọta onye ọrụ
Growth,Growth,Crecimiento,نمو,Croissance,Wachstum,Рост,Büyüme,विकास,نمو,生长,Uto
Latest Add Money,Latest Add Money,Última adición de dinero,أحدث إضافة المال,Dernier ajout d'argent,Neueste Geld hinzufügen,Последнее добавление денег,En Son Para Ekleme,नवीनतम पैसा जोड़ें,تازہ ترین رقم شامل کریں۔,最新加钱,Tinye ego kacha ọhụrụ
Download App,Download App,Descargar aplicación,تنزيل التطبيق,Télécharger l'application,Lade App herunter,Скачать приложение,indir uygulaması,ऐप डाउनलोड करें,ایپ ڈاؤن لوڈ کریں۔,下载应用程序,Budata ngwa
Login,Login,Acceso,تسجيل الدخول,Se connecter,Anmeldung,Авторизоваться,Giriş yapmak,लॉग इन करें,لاگ ان کریں,登录,Banye
Contact,Contact,Contacto,اتصال,Contact,Kontakt,Контакт,Temas etmek,संपर्क,رابطہ کریں۔,接触,Kpọtụrụ
Announcement,Announcement,Anuncio,إعلان,Annonce,Bekanntmachung,Объявление,Duyuru,घोषणा,اعلان,公告,ọkwa
Plan,Plan,Plan,يخطط,Plan,Planen,План,Plan,योजना,منصوبہ,计划,Atụmatụ
About,About,Acerca de,عن,À propos,Um,О,Hakkında,के बारे में,کے بارے میں,关于,Ihe gbasara
Stay connected with us for regular updates,Stay connected with us for regular updates,Manténgase conectado con nosotros para recibir actualizaciones periódicas,ابق على اتصال معنا للحصول على تحديثات منتظمة,Restez connecté avec nous pour des mises à jour régulières,"Bleiben Sie mit uns in Verbindung, um regelmäßig Updates zu erhalten",Оставайтесь на связи с нами для получения регулярных обновлений,Düzenli güncellemeler için bizimle bağlantıda kalın,नियमित अपडेट के लिए हमारे साथ जुड़े रहें,باقاعدہ اپ ڈیٹس کے لیے ہمارے ساتھ جڑے رہیں,与我们保持联系以获取定期更新,Jikọọ na anyị maka mmelite oge niile
Contact Us,Contact Us,Contáctenos,اتصل بنا,Contactez-nous,Kontaktiere uns,Связаться с нами,Bize Ulaşın,संपर्क करें,ہم سے رابطہ کریں۔,联系我们,Kpọtụrụ anyị
Layout Mode,Layout Mode,Modo de diseño,وضع التخطيط,Mode Mise en page,Layoutmodus,Режим макета,Düzen Modu,लेआउट मोड,لے آؤٹ موڈ,布局模式,Ụdị nhazi
Topbar Color,Topbar Color,Color de la barra superior,لون الشريط العلوي,Couleur de la barre supérieure,Farbe der oberen Leiste,Цвет верхней панели,Üst Çubuk Rengi,टॉपबार रंग,ٹاپ بار کا رنگ,顶栏颜色,Agba Topbar
Dark Mode,Dark Mode,Modo oscuro,الوضع المظلم,Mode sombre,Dunkler Modus,Темный режим,Karanlık Mod,डार्क मोड,ڈارک موڈ,深色模式,Ọnọdụ gbara ọchịchịrị
Light Mode,Light Mode,Modo de luz,وضع الضوء,Mode lumière,Lichtmodus,Светлый режим,Işık Modu,लाइट मोड,لائٹ موڈ,灯光模式,Ọnọdụ ọkụ
Sidebar Color,Sidebar Color,Color de la barra lateral,لون الشريط الجانبي,Couleur de la barre latérale,Farbe der Seitenleiste,Цвет боковой панели,Kenar Çubuğu Rengi,साइडबार का रंग,سائڈبار کا رنگ,侧边栏颜色,Agba sidebar
Min Sidebar Color,Min Sidebar Color,Color mínimo de la barra lateral,الحد الأدنى للون الشريط الجانبي,Couleur minimale de la barre latérale,Mindestfarbe der Seitenleiste,Минимальный цвет боковой панели,Minimum Kenar Çubuğu Rengi,न्यूनतम साइडबार रंग,کم سے کم سائڈبار کا رنگ,最小侧边栏颜色,Agba Min Sidebar
Direction,Direction,Dirección,اتجاه,Direction,Richtung,Направление,Yön,दिशा,سمت,方向,Ntuziaka
RTL Support,RTL Support,Soporte RTL,دعم RTL,Prise en charge RTL,RTL-Unterstützung,Поддержка RTL,RTL Desteği,आरटीएल समर्थन,RTL سپورٹ,RTL 支持,Nkwado RTL
Total Refers,Total Refers,Total de referencias,إجمالي المراجع,Total de références,Gesamtzahl der Verweise,Всего рефералов,Toplam Referanslar,कुल सन्दर्भ,کل حوالہ جات,总推荐数,Ngụkọta ntụaka
Total Invested,Total Invested,Total invertido,إجمالي الاستثمار,Total investi,Insgesamt investiert,Всего инвестировано,Toplam Yatırım,कुल निवेश,کل سرمایہ کاری,总投资,Mkpokọta ego
Current Position,Current Position,Posición actual,المنصب الحالي,Poste actuel,Aktuelle Position,Текущая позиция,Şu anki pozisyon,वर्तमान पद,موجودہ پوزیشن,当前位置,Ọnọdụ dị ugbu a
Refer Code,Refer Code,Código de referencia,رمز الرجوع,Code de référence,Siehe Code,См. код,Kodu inceleyin,कोड देखें,کوڈ کا حوالہ دیں۔,参考代码,Koodu nrụtụaka
Refer Link,Refer Link,Enlace de referencia,الرجوع الرابط,Lien de référence,Siehe Link,См. ссылку,Bağlantıya bakın,लिंक देखें,لنک کا حوالہ دیں۔,参考链接,Tụgharịa njikọ
